"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"A1BG",45.7710506711052,-0.0843805886139859,0.495555189182718,-0.170274856274129,0.864793984276049,0.910912413464684,"Not"
"A1CF",0.899416232779233,-1.71090052699037,0.681643561042848,-2.50996360087794,0.0120743606796679,0.0287026389173248,"Down"
"A2M",47360.5037170773,1.8955508867696,0.441006245723904,4.29824045611437,1.72159339179861e-05,9.31161821157123e-05,"Up"
"A2ML1",244.824500613062,0.344243213900771,0.741465358670648,0.46427416989238,0.642451327641973,0.742865539873629,"Not"
"A3GALT2",9.38083353223357,1.0008823013947,0.701425257701043,1.42692651912071,0.153601075993838,0.241928521115834,"Not"
"A4GALT",265.335062460376,-0.0867008990192533,0.542743628458282,-0.159745586079999,0.873081489481682,0.916425261948334,"Not"
"A4GNT",2.95321807728071,-0.0140133959874114,0.699918230518108,-0.0200214759044612,0.984026240703994,0.98972064006448,"Not"
"AAAS",2217.31345399572,0.781171845336439,0.190187472603649,4.10737802360096,4.00175987268443e-05,0.000196455789422603,"Up"
"AACS",1147.07237457717,-1.93712640719177,0.221913764155619,-8.72918547690149,2.56513256674773e-18,2.57983008307612e-16,"Down"
"AADAC",0.891201932336497,0.813824136971604,1.42928752622755,0.569391477948179,0.569090498900364,0.679795699957638,"Not"
"AADACL2",0.105195538715262,0.298152996466614,3.78455668759486,0.078781485145647,0.937206430982119,NA,"Not"
"AADACL3",0.257783138957932,-0.801317398493745,1.94282273865354,-0.412450082321505,0.680009561224776,0.774406775379373,"Not"
"AADACL4",0.0537244147351404,0.152574622327225,7.33073695817671,0.0208129991838055,0.983394828136539,NA,"Not"
"AADAT",500.431737326347,-0.306097749121414,0.264865152906536,-1.155673918454,0.247814560250649,0.355719619504982,"Not"
"AAED1",764.97912053699,1.06403881634837,0.253085522328515,4.20426584088521,2.61930942196777e-05,0.000135789554486298,"Up"
"AAGAB",2090.21092243189,-0.288774995505847,0.188995512634598,-1.52794630666264,0.126525869682464,0.207048402050302,"Not"
"AAK1",1969.42117443037,-2.4911804923103,0.265022474035747,-9.39988392069077,5.46232998684922e-21,8.8375749335058e-19,"Down"
"AAMDC",571.573229700588,0.763836322972474,0.235419405161964,3.2445767265743,0.00117625323881926,0.00377464086951901,"Up"
"AAMP",5465.68718116027,-0.110952073159833,0.14478650127806,-0.766315037523782,0.443488872881085,0.561024882297081,"Not"
"AANAT",37.6843193541385,0.445931414005164,0.515808287691067,0.864529370013234,0.38729715341118,0.506230155388326,"Not"
"AAR2",2281.73454247772,0.611029644219483,0.172143588054849,3.54953472925635,0.00038591255797275,0.00142948219264204,"Up"
"AARD",9.98361384124682,-2.87967701695266,0.926513338130839,-3.10807939663574,0.00188307471732071,0.00568220697218117,"Down"
"AARS",8890.63120284551,-1.16262155779218,0.196027001657925,-5.93092557637035,3.01231738054126e-09,4.2915143324924e-08,"Down"
"AARS2",905.596571331778,-0.173933863342076,0.292386294281267,-0.594876937613079,0.551925734211837,0.663981004186308,"Not"
"AARSD1",248.884623923674,-0.437314216336714,0.260997793990248,-1.67554755789642,0.0938268482456036,0.161657777429179,"Not"
"AASDH",655.114852356576,0.477232612194897,0.26314586850601,1.81356680575815,0.0697444447654825,0.126515076465494,"Not"
"AASDHPPT",2915.55960209508,-0.851372093391694,0.180508717442686,-4.71651511047946,2.39918556597025e-06,1.62738777398623e-05,"Down"
"AASS",952.132723847994,0.64708388571297,0.368947010265416,1.75386672803627,0.0794533459131294,0.141046556059506,"Not"
"AATF",2148.41986197137,0.30862175446982,0.226471794177756,1.36273815284735,0.172965049003376,0.266914464772067,"Not"
"AATK",1793.61521772995,-4.07460666727922,0.638325624191453,-6.38327291410305,1.73342573990272e-10,3.35609982483143e-09,"Down"
"AATK-AS1",1.99422739746527,-3.16587478055626,0.669093182277623,-4.73159025440894,2.22767730012315e-06,1.52382955316512e-05,"Down"
"ABAT",11371.9601758404,-0.318697087535921,0.416145149066005,-0.76583155721316,0.443776534566533,0.561274298290049,"Not"
"ABCA1",4959.54443107461,1.97815056710895,0.410161170753252,4.82286161675451,1.41513153581844e-06,1.01346949020161e-05,"Up"
"ABCA10",36.4816744302392,-0.933789491329058,0.657536492432111,-1.42013333415935,0.155568867385887,0.244350353991147,"Not"
"ABCA12",43.3098338537915,0.518211055653238,0.58138283147025,0.891342206206438,0.372745612512627,0.490786559083571,"Not"
"ABCA13",139.984952987601,4.69329556075926,0.927451757036191,5.06042015140214,4.18333623606082e-07,3.45013980532569e-06,"Up"
"ABCA2",9722.7680300501,-3.33495596008895,0.424452861135846,-7.85707027905179,3.93222248279129e-15,2.07849237257996e-13,"Down"
"ABCA3",5644.48334293577,-1.27796223328747,0.335009064882811,-3.81470941311546,0.000136343275438675,0.000577464826499426,"Down"
"ABCA4",32.0982303942077,-0.934677242467118,0.449383414635096,-2.07991041063695,0.0375337509647684,0.075237337906753,"Down"
"ABCA5",625.998419757205,-1.46312645832558,0.529598296210976,-2.76270990445693,0.00573236897469122,0.015049591807973,"Down"
"ABCA6",95.6964183226018,-0.584624977828412,0.712557333712705,-0.820460263572455,0.411953772983305,0.530363402998019,"Not"
"ABCA7",487.200058046728,-0.404469382647393,0.462881212121119,-0.87380816515309,0.382222733063926,0.50036137137743,"Not"
"ABCA8",1241.33760272799,-1.92575054920211,0.527053838054748,-3.65380234457579,0.000258385204234596,0.00100578255730748,"Down"
"ABCA9",105.604428712624,-1.4949607491659,0.512625414987474,-2.91628293381128,0.00354229112145016,0.00986647235885819,"Down"
"ABCB1",775.47041456562,-0.5875432653777,0.423778957395668,-1.3864380359715,0.165613188832914,0.257491350499306,"Not"
"ABCB10",724.689904513252,0.146126425929554,0.191438460554092,0.763307568952505,0.445279989159746,0.562716802167101,"Not"
"ABCB11",6.43985675934063,2.16115196987519,1.34037743256923,1.61234583436152,0.106886704629057,0.180204243052576,"Not"
"ABCB4",195.950979301474,2.24382194025081,0.409041250701932,5.48556395326956,4.12152410767307e-08,4.37450527937052e-07,"Up"
"ABCB5",6.20233426936976,1.45710762141581,0.920821870605521,1.58239901541178,0.113558509356022,0.189733263746242,"Not"
"ABCB6",516.863800929063,0.20458062550798,0.268330655719105,0.76241987692282,0.445809446699849,0.562965288808021,"Not"
"ABCB7",1093.96552186048,1.20102629458077,0.188266527128657,6.37939368669617,1.77790456118419e-10,3.43150334703248e-09,"Up"
"ABCB8",2587.6282642217,0.0311284436611158,0.219537096729082,0.141791269561744,0.887244880274131,0.926431238699169,"Not"
"ABCB9",761.142318270519,-0.99743702417636,0.424972253290058,-2.34706387641636,0.0189220105475059,0.0421027180395714,"Down"
"ABCC1",1277.00601006337,0.340471743752811,0.352688873375891,0.965360036719787,0.334364510645362,0.451202936253815,"Not"
"ABCC10",900.45727491406,-0.279091460666609,0.24175938400599,-1.15441831478068,0.248328710046217,0.356265246288836,"Not"
"ABCC11",45.461128485324,-1.11369255963044,0.512172283917482,-2.17444909574582,0.0296714243895912,0.0616834103008641,"Down"
"ABCC12",23.4516011909565,-3.1423306816695,1.0721715383606,-2.93080964122053,0.00338079878611238,0.00948479225187077,"Down"
"ABCC2",28.3469254457116,0.241032977752548,0.536609825685295,0.44917734677096,0.653303727657447,0.751677024104537,"Not"
"ABCC3",3329.05430726583,5.14493709347411,0.747400708383319,6.88377337051631,5.82875798694015e-12,1.51164591364798e-10,"Up"
"ABCC4",872.609065119888,1.27336578264358,0.328378165556896,3.87774193355421,0.0001054304645985,0.000461019794199693,"Up"
"ABCC5",2092.92875993164,-0.859127331425685,0.321930213695141,-2.66867567838555,0.00761509426326628,0.0192351946595618,"Down"
"ABCC6",96.6771985993941,0.895173369197455,0.451940819421359,1.9807313938661,0.0476214041586803,0.0921130944793177,"Up"
"ABCC8",385.036256621799,-1.86515543520705,0.731810552058182,-2.54868617289187,0.01081295551736,0.0260670964441566,"Down"
"ABCC9",524.104207502159,-0.414607243901274,0.509400269716761,-0.813912493866179,0.415695082745547,0.533666094636282,"Not"
"ABCD1",995.183425125759,1.1782027112515,0.284851510478906,4.1361996265024,3.53105039240463e-05,0.000175900197057779,"Up"
"ABCD2",501.318867743526,-0.594823528929109,0.500616296065619,-1.18818251344167,0.234761511437529,0.340954857685322,"Not"
"ABCD3",4015.4228101012,0.725113108325558,0.243349689698123,2.97971659312599,0.0028851517957124,0.00823962153661165,"Up"
"ABCD4",2427.69279275598,0.597808530414976,0.26761520261446,2.23383621174993,0.025493851934189,0.0543280963334693,"Up"
"ABCE1",3184.76697037123,0.188456980869927,0.18835050205363,1.00056532271025,0.317037002102707,0.43249435157438,"Not"
"ABCF1",3815.79400608812,-0.0171126322785355,0.240834915263336,-0.0710554458427425,0.943353627562207,0.963652810583558,"Not"
"ABCF2",4556.04979822045,0.349960070708938,0.179995477252369,1.94427146754506,0.0518627234794088,0.0990818187758373,"Not"
"ABCF3",2568.47090251148,-0.540986046379926,0.157582478953234,-3.43303424323255,0.000596866709860242,0.0020965267139248,"Down"
"ABCG1",1326.08493998657,-0.614966274671444,0.39277378253075,-1.56570092512043,0.117418649611333,0.194783469567445,"Not"
"ABCG2",1889.6534599796,0.590228105682076,0.475717221847326,1.24071208393523,0.214712128684539,0.318090488140412,"Not"
"ABCG4",120.36535274615,-3.40468180997184,0.565038692703934,-6.02557285710663,1.68511685350535e-09,2.5490474940098e-08,"Down"
"ABCG5",7.92769906348534,-1.0365779571996,0.453165770534373,-2.28741450612493,0.022171640384395,0.0483096695258252,"Down"
"ABCG8",2.58776110310538,-3.72565424282237,0.845976710383881,-4.40396785998017,1.06288696944615e-05,6.06442040892824e-05,"Down"
"ABHD1",82.1540533840285,-0.0733442636048814,0.421096403477422,-0.174174519181838,0.861728310186766,0.908918193839851,"Not"
"ABHD10",1740.02279604053,-0.364463243220118,0.251885889048202,-1.44693791540808,0.14791431272709,0.234400281287816,"Not"
"ABHD11",1064.46159861315,0.82255054893205,0.288499199141581,2.85113633375593,0.00435632866462132,0.0118292252092738,"Up"
"ABHD12",5050.37163967352,-0.447329296711886,0.211839997286448,-2.11163756817374,0.03471754767776,0.0704652222201815,"Not"
"ABHD12B",61.9680437487933,-1.3337452956254,0.421965936843384,-3.16078900965987,0.00157342426190344,0.00487025982648068,"Down"
"ABHD13",874.915585654799,-0.166461531556029,0.25697991614715,-0.647760860271709,0.517139633942013,0.63150269298677,"Not"
"ABHD14A",925.214788523454,-0.752789422474179,0.323762515104691,-2.32512841157896,0.020065094847701,0.0442440335075046,"Down"
"ABHD14A-ACY1",18.2577583517371,0.242888598325009,0.345518676383559,0.702968073585056,0.48207564607981,0.5985252549687,"Not"
"ABHD14B",1363.96268328513,1.30490746106481,0.279079797809133,4.67575034563147,2.92880739377929e-06,1.94410953866063e-05,"Up"
"ABHD15",634.829591083221,0.970010858393983,0.288343500845526,3.36408088113505,0.000767990328734539,0.00261324580402978,"Up"
"ABHD16A",347.822854351268,-0.175775075846172,0.163840865998782,-1.07284025126844,0.283342797581213,0.395161279591356,"Not"
"ABHD16B",0,NA,NA,NA,NA,NA,NA
"ABHD17A",3104.19466402046,-0.0823818632521495,0.243361191377429,-0.338516847266677,0.734973733423954,0.818367521489293,"Not"
"ABHD17B",1063.82239515343,-1.56243348853161,0.250663507795219,-6.23319087119794,4.57028743060524e-10,7.90285947340531e-09,"Down"
"ABHD17C",1471.22083229998,0.200031441310068,0.360877846163178,0.554291274559478,0.579379520810632,0.68898986093587,"Not"
"ABHD18",505.500921214973,0.0283452026352115,0.216481037934546,0.130936191481961,0.895825784467123,0.933452875548572,"Not"
"ABHD2",6860.7482101989,-0.372240187381929,0.404202058490204,-0.920926006097889,0.357089059948539,0.474605261047397,"Not"
"ABHD3",939.103616922839,1.27062608346796,0.275437766016939,4.61311497636029,3.9667872402723e-06,2.52328353478655e-05,"Up"
"ABHD4",4102.05225693227,1.81561238291382,0.285847611749389,6.35167938539793,2.12976860520959e-10,4.03117748408237e-09,"Up"
"ABHD5",864.541283546576,1.21936963828144,0.238258358851177,5.11784620762497,3.09044433046359e-07,2.64128650494283e-06,"Up"
"ABHD6",1272.29364586226,-1.19471603597167,0.336573056013383,-3.54964847787509,0.000385745864843707,0.00142943388991874,"Down"
"ABHD8",1418.59655026927,-1.42881598684641,0.271366671323095,-5.26525965727468,1.39991353758747e-07,1.31086015502529e-06,"Down"
"ABI1",2904.75342534611,-0.476951982230816,0.235666332295466,-2.02384438025216,0.0429861662322602,0.0845365826992319,"Not"
"ABI2",6800.12783422581,-0.929351534702863,0.227129943631431,-4.09171736603317,4.28190328492092e-05,0.000208831173051739,"Down"
"ABI3",1193.24212184232,1.62762793551956,0.41331164837172,3.9380161239872,8.21580748838793e-05,0.000369949937388543,"Up"
"ABI3BP",650.892810977684,1.030059906381,0.70762451499602,1.4556588763559,0.145486943451208,0.231451740630482,"Not"
"ABL1",5432.28539699839,-0.115096286034927,0.291693609151378,-0.394579388865516,0.693153327128035,0.785602990201592,"Not"
